epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,75.5974,1.20793,1.41234,1.13136,0.19521,0.28301,0.20261,0.08633,1.95474,3.25077,1.7016,0.0005941,0.0005941,0.0005941
43,77.3519,1.18854,1.36414,1.10785,0.18507,0.48214,0.2443,0.10838,1.89963,2.92329,1.62481,0.0005842,0.0005842,0.0005842
44,79.1046,1.16175,1.24506,1.08484,0.27604,0.47862,0.29012,0.1294,1.86229,3.08728,1.59832,0.0005743,0.0005743,0.0005743
45,80.8123,1.12943,1.33416,1.07519,0.21167,0.45714,0.2626,0.11523,1.95266,3.01914,1.68263,0.0005644,0.0005644,0.0005644
46,82.5796,1.16148,1.33236,1.08164,0.21795,0.3253,0.19301,0.08407,1.93683,3.02341,1.69792,0.0005545,0.0005545,0.0005545
47,84.3014,1.17071,1.38299,1.10248,0.26453,0.42143,0.27997,0.12968,1.88753,2.83095,1.72244,0.0005446,0.0005446,0.0005446
48,86.0333,1.13639,1.25021,1.10922,0.3614,0.47388,0.32048,0.14577,1.91241,2.82105,1.76467,0.0005347,0.0005347,0.0005347
49,87.7844,1.12482,1.23713,1.10058,0.33222,0.29571,0.2741,0.11815,1.9455,2.90948,1.8092,0.0005248,0.0005248,0.0005248
50,89.5096,1.13386,1.22384,1.08539,0.25528,0.32156,0.21059,0.0971,1.91687,3.06002,1.71335,0.0005149,0.0005149,0.0005149
51,91.2457,1.13454,1.23623,1.08682,0.21704,0.43214,0.20016,0.09243,1.91064,3.1928,1.72354,0.000505,0.000505,0.000505
52,93.0579,1.06297,1.182,1.06224,0.17715,0.44099,0.21154,0.09107,1.87546,3.34794,1.69556,0.0004951,0.0004951,0.0004951
53,94.7566,1.12726,1.27198,1.08895,0.17261,0.33375,0.20419,0.08253,1.87505,3.24326,1.65676,0.0004852,0.0004852,0.0004852
54,96.4757,1.07981,1.1749,1.07472,0.76011,0.3894,0.26184,0.10945,1.92093,3.21389,1.60699,0.0004753,0.0004753,0.0004753
55,98.2219,1.1127,1.13897,1.07491,0.51754,0.39286,0.39701,0.17794,1.91828,3.00757,1.65204,0.0004654,0.0004654,0.0004654
56,99.9717,1.03594,1.11769,1.05693,0.25492,0.30714,0.26135,0.12163,1.96274,2.86149,1.70038,0.0004555,0.0004555,0.0004555
57,101.661,1.07096,1.17657,1.04266,0.30394,0.32401,0.26427,0.11724,2.02838,2.85916,1.75571,0.0004456,0.0004456,0.0004456
58,103.406,1.07666,1.15271,1.03322,0.24714,0.45992,0.26749,0.1281,1.99715,2.99267,1.79734,0.0004357,0.0004357,0.0004357
59,105.146,1.09632,1.15959,1.05894,0.69197,0.32143,0.2953,0.14826,1.98871,2.97233,1.80677,0.0004258,0.0004258,0.0004258
60,106.864,0.99253,1.02725,1.01606,0.57877,0.38769,0.34583,0.17752,2.05252,3.02914,1.80572,0.0004159,0.0004159,0.0004159
61,108.566,1.03735,1.03638,1.03645,0.53035,0.41786,0.34363,0.18202,2.02251,3.07818,1.75784,0.000406,0.000406,0.000406
62,110.286,1.08032,1.06276,1.04792,0.21247,0.47341,0.35338,0.16402,2.04188,3.17571,1.75485,0.0003961,0.0003961,0.0003961
63,112.005,1.02976,1.13195,1.05377,0.47165,0.39002,0.40842,0.18387,2.02235,3.2131,1.78309,0.0003862,0.0003862,0.0003862
64,113.768,1.01032,1.06052,1.02293,0.84796,0.19437,0.32702,0.15416,2.06808,3.16816,1.81406,0.0003763,0.0003763,0.0003763
65,115.467,1.00848,1.04887,1.02208,0.75427,0.23214,0.3129,0.13918,2.08589,3.21109,1.83678,0.0003664,0.0003664,0.0003664
66,117.429,1.0063,1.00494,1.00881,0.37602,0.31604,0.23412,0.08333,2.06182,3.38218,1.81467,0.0003565,0.0003565,0.0003565
67,120.194,0.94343,0.97368,1.01927,0.20297,0.48492,0.22373,0.09159,2.04054,3.13291,1.81243,0.0003466,0.0003466,0.0003466
68,123.194,1.00614,0.96458,1.01867,0.36566,0.52341,0.30469,0.12678,2.02484,3.1725,1.78774,0.0003367,0.0003367,0.0003367
69,125.921,0.94673,0.9838,0.99748,0.46055,0.45198,0.31405,0.13365,2.10194,3.12717,1.8513,0.0003268,0.0003268,0.0003268
70,128.778,0.94186,0.96742,0.99657,0.45323,0.52341,0.34468,0.15386,2.01232,3.17654,1.79636,0.0003169,0.0003169,0.0003169
71,131.593,0.98299,1.11761,1.01714,0.3041,0.39841,0.22839,0.09066,2.00044,3.33801,1.76908,0.000307,0.000307,0.000307
72,134.367,1.03463,1.09908,1.03373,0.28017,0.32149,0.17494,0.06947,1.97699,3.31014,1.76999,0.0002971,0.0002971,0.0002971
73,137.269,0.93614,0.9725,1.01121,0.22217,0.33787,0.21232,0.0797,1.98747,3.20536,1.79834,0.0002872,0.0002872,0.0002872
74,140.116,0.93644,0.96917,0.98692,0.31677,0.40143,0.22725,0.07773,2.00376,3.06936,1.80568,0.0002773,0.0002773,0.0002773
75,142.893,0.8824,0.93417,0.98674,0.29222,0.41745,0.21236,0.08352,2.07881,3.17442,1.85147,0.0002674,0.0002674,0.0002674
76,145.902,0.94345,0.95762,0.99262,0.37026,0.42063,0.24465,0.08929,2.08557,3.2193,1.81441,0.0002575,0.0002575,0.0002575
77,147.973,0.88476,0.95069,0.97156,0.36872,0.44563,0.25657,0.09905,2.02756,3.15052,1.76965,0.0002476,0.0002476,0.0002476
78,149.754,0.92184,0.85824,0.96912,0.36118,0.59841,0.26595,0.09959,1.98817,3.14849,1.74467,0.0002377,0.0002377,0.0002377
79,151.477,0.91057,0.9656,0.9826,0.37293,0.56893,0.29385,0.11891,2.02938,3.11388,1.78278,0.0002278,0.0002278,0.0002278
80,153.212,0.87471,0.95275,0.96649,0.3681,0.56015,0.40162,0.17727,1.97063,3.18285,1.72861,0.0002179,0.0002179,0.0002179
81,154.94,0.89044,0.90045,0.98903,0.32804,0.50172,0.42872,0.20135,1.9392,3.20505,1.70513,0.000208,0.000208,0.000208
82,156.688,0.88879,0.88003,0.95862,0.29733,0.45031,0.36751,0.16485,1.93161,3.26635,1.68482,0.0001981,0.0001981,0.0001981
83,158.423,0.83521,0.84749,0.94979,0.26966,0.43214,0.33831,0.15014,1.93899,3.33897,1.70356,0.0001882,0.0001882,0.0001882
84,160.21,0.8601,0.84463,0.96457,0.33151,0.46629,0.37826,0.15088,1.99874,3.34574,1.75866,0.0001783,0.0001783,0.0001783
85,161.95,0.81247,0.82891,0.95629,0.59896,0.43275,0.39498,0.15275,2.01625,3.32577,1.7915,0.0001684,0.0001684,0.0001684
86,163.714,0.87065,0.84765,0.94855,0.59981,0.42098,0.39188,0.15626,2.04483,3.32815,1.83925,0.0001585,0.0001585,0.0001585
87,165.47,0.84371,0.83523,0.94941,0.24093,0.46907,0.34565,0.15618,2.05723,3.31408,1.84888,0.0001486,0.0001486,0.0001486
88,167.241,0.83007,0.83163,0.93695,0.21927,0.47749,0.31888,0.14431,2.01481,3.36452,1.81197,0.0001387,0.0001387,0.0001387
89,168.944,0.82412,0.82274,0.95813,0.20823,0.48016,0.30438,0.13304,1.99144,3.35653,1.80075,0.0001288,0.0001288,0.0001288
90,170.691,0.8339,0.83421,0.96373,0.2344,0.44286,0.21935,0.09163,1.98302,3.38459,1.79538,0.0001189,0.0001189,0.0001189
91,189.72,0.84289,1.06878,0.98904,0.29516,0.41112,0.25008,0.09696,2.05975,3.42911,1.86775,0.000109,0.000109,0.000109
92,191.43,0.90387,1.14194,0.99554,0.33828,0.46786,0.26054,0.09763,2.06547,3.41436,1.88007,9.91e-05,9.91e-05,9.91e-05
93,193.139,0.8444,0.89496,0.95654,0.29156,0.46786,0.27608,0.11111,2.01843,3.39014,1.871,8.92e-05,8.92e-05,8.92e-05
94,194.862,0.84146,0.89009,0.95966,0.31686,0.49286,0.29641,0.10991,2.05104,3.33605,1.86064,7.93e-05,7.93e-05,7.93e-05
95,196.597,0.79361,0.89678,0.94588,0.38371,0.51853,0.28583,0.09816,2.07554,3.30683,1.88604,6.94e-05,6.94e-05,6.94e-05
96,198.351,0.81082,0.8681,0.9313,0.36847,0.39563,0.26582,0.09111,2.08309,3.29852,1.86749,5.95e-05,5.95e-05,5.95e-05
97,200.019,0.75172,0.84355,0.91151,0.35801,0.48911,0.27486,0.09318,2.11204,3.29165,1.8785,4.96e-05,4.96e-05,4.96e-05
98,201.73,0.7567,0.81068,0.89196,0.32137,0.4767,0.27078,0.09849,2.11722,3.29156,1.88347,3.97e-05,3.97e-05,3.97e-05
99,203.437,0.75744,0.83914,0.91874,0.35404,0.3556,0.23634,0.09339,2.12637,3.3002,1.89226,2.98e-05,2.98e-05,2.98e-05
100,205.165,0.7374,0.81102,0.91672,0.33787,0.35992,0.23488,0.09336,2.11397,3.35855,1.88049,1.99e-05,1.99e-05,1.99e-05
